run_name,log_path,checkpoint_path,arch,n_fibers,seed,train_samples,pretrained,source_n_fibers,transfer_strategy,best_val_loss,nrmse,wmse,ssim_score,median_max_err,peak_loc_err
attention_unet_nf10_scratch,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_attention_unet_nf10_scratch.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_attention_unet_nf10_scratch.pth,attention_unet,10,,,False,,scratch,0.10486902296543121,0.08187086786725642,0.012709991075098515,0.6687331795692444,0.3748724413761808,60.8021354675293
attention_unet_nf10_scratch_seed42,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_attention_unet_nf10_scratch_seed42.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_attention_unet_nf10_scratch_seed42.pth,attention_unet,10,42,,False,,scratch,0.06635238230228424,0.061918653655751284,0.007642601151019335,0.7851456999778748,0.27636619911317295,22.512712478637695
attention_unet_nf10_scratch_seed43,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_attention_unet_nf10_scratch_seed43.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_attention_unet_nf10_scratch_seed43.pth,attention_unet,10,43,,False,,scratch,0.07213091105222702,0.06624833045703325,0.008006686344742775,0.790856122970581,0.4079474948646878,23.668548583984375
attention_unet_nf10_scratch_seed44,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_attention_unet_nf10_scratch_seed44.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_attention_unet_nf10_scratch_seed44.pth,attention_unet,10,44,,False,,scratch,0.054106276482343674,0.07774723557288082,0.010498112998902798,0.7661240696907043,0.4740182045866845,81.15813446044922
attention_unet_nf20_from_nf6_encoder_freeze_n100_seed42,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_attention_unet_nf20_from_nf6_encoder_freeze_n100_seed42.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_attention_unet_nf20_from_nf6_encoder_freeze_n100_seed42.pth,attention_unet,20,42,100,True,6,encoder_freeze,0.024018157894412678,0.02066327650134307,0.0006385062588378787,0.9193957448005676,0.15943970337749516,26.300003051757812
attention_unet_nf20_from_nf6_encoder_freeze_n20_seed42,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_attention_unet_nf20_from_nf6_encoder_freeze_n20_seed42.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_attention_unet_nf20_from_nf6_encoder_freeze_n20_seed42.pth,attention_unet,20,42,20,True,6,encoder_freeze,0.030232615768909454,0.02169153595954015,0.0006992807611823082,0.9055169224739075,0.15032169627730063,31.726177215576172
attention_unet_nf20_from_nf6_encoder_freeze_n40_seed42,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_attention_unet_nf20_from_nf6_encoder_freeze_n40_seed42.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_attention_unet_nf20_from_nf6_encoder_freeze_n40_seed42.pth,attention_unet,20,42,40,True,6,encoder_freeze,0.026416410381595295,0.02159059238360695,0.0007018216419965029,0.912961483001709,0.15485525333866026,31.597986221313477
attention_unet_nf20_from_nf6_encoder_freeze_n4_seed42,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_attention_unet_nf20_from_nf6_encoder_freeze_n4_seed42.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_attention_unet_nf20_from_nf6_encoder_freeze_n4_seed42.pth,attention_unet,20,42,4,True,6,encoder_freeze,0.03514322514335314,0.025664761520054057,0.000976567855104804,0.8852254748344421,0.19681773305597577,33.52846145629883
attention_unet_nf20_from_nf6_encoder_freeze_n4_seed43,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_attention_unet_nf20_from_nf6_encoder_freeze_n4_seed43.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_attention_unet_nf20_from_nf6_encoder_freeze_n4_seed43.pth,attention_unet,20,43,4,True,6,encoder_freeze,0.03516523788372675,0.02756352609496125,0.001310934778302908,0.8868295550346375,0.1958430612823254,47.326995849609375
attention_unet_nf20_from_nf6_encoder_freeze_n60_seed42,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_attention_unet_nf20_from_nf6_encoder_freeze_n60_seed42.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_attention_unet_nf20_from_nf6_encoder_freeze_n60_seed42.pth,attention_unet,20,42,60,True,6,encoder_freeze,0.024933813760677975,0.020949460430892214,0.0006438364507630467,0.9181119203567505,0.15920494834755594,21.392284393310547
