n_fibers,arch,pretrained,source_n_fibers,transfer_strategy,train_samples,n_runs,nrmse_mean,nrmse_std,nrmse_ci95,wmse_mean,wmse_std,wmse_ci95,ssim_score_mean,ssim_score_std,ssim_score_ci95,median_max_err_mean,median_max_err_std,median_max_err_ci95,peak_loc_err_mean,peak_loc_err_std,peak_loc_err_ci95
6,attention_unet,False,,scratch,,8,0.029865161225330297,0.006233146225670304,0.004319349965012829,0.0015738704387331381,0.0008340151262674381,0.0005779429963679429,0.8785944581031799,0.047214651888566814,0.032718084511332464,0.15582554851949226,0.033315307191781746,0.023086330039969388,35.100884199142456,7.93856421227221,5.501144335634871
6,cnn,False,,scratch,,3,0.027618340282794366,0.004115977609833479,0.00465766713079103,0.001280488135914008,0.0005080424706632474,0.0005749041761064894,0.8942994078000387,0.01001482816005904,0.011332844918831946,0.1406760520453475,0.01242151512593185,0.014056267599331533,30.78039614359538,7.16766965675415,8.110981771347069
6,resnet34_attention_unet,False,,scratch,,3,0.027527852243140864,0.0025956533499669255,0.0029372582742396625,0.00136574637144804,0.00030072337755879263,0.0003403005370509575,0.9149967233339945,0.0063294368249325675,0.007162432027199355,0.134132514344052,0.024969241244354966,0.028255356381622534,38.70401509602865,2.3855525789362955,2.6995068702851577
6,unet,False,,scratch,,8,0.030177282044064276,0.006181110265044021,0.004283290884000916,0.0014132736760075204,0.0008508139823809588,0.0005895840097405095,0.878823958337307,0.04881753659271921,0.03382882694222349,0.15713149103851248,0.0288849121384287,0.02001622290211934,40.5481173992157,6.555046317804732,4.5424153482654015
10,attention_unet,False,,scratch,,4,0.07194627188823044,0.009401568113657655,0.009213536751384503,0.009714347892440856,0.0023661789409642362,0.0023188553621449515,0.7527147680521011,0.056977319684036146,0.05583777329035542,0.3833010849851815,0.0823471374897939,0.08070019473999802,47.03538274765015,28.874763842373945,28.297268565526466
20,attention_unet,True,6,encoder_freeze,100,1,0.02066327650134307,0.0,0.0,0.0006385062588378787,0.0,0.0,0.9193957448005676,0.0,0.0,0.15943970337749516,0.0,0.0,26.300003051757812,0.0,0.0
20,attention_unet,True,6,encoder_freeze,20,1,0.02169153595954015,0.0,0.0,0.0006992807611823082,0.0,0.0,0.9055169224739075,0.0,0.0,0.15032169627730063,0.0,0.0,31.726177215576172,0.0,0.0
20,attention_unet,True,6,encoder_freeze,4,2,0.02661414380750765,0.0013426293067936676,0.001860789283409048,0.001143751316703856,0.0002364331187978608,0.0003276795847341418,0.8860275149345398,0.0011342559871251802,0.0015719985961914062,0.19633039716915057,0.0006891970205793009,0.0009551783381773688,40.4277286529541,9.75703723994569,13.522563705444334
20,attention_unet,True,6,encoder_freeze,40,1,0.02159059238360695,0.0,0.0,0.0007018216419965029,0.0,0.0,0.912961483001709,0.0,0.0,0.15485525333866026,0.0,0.0,31.597986221313477,0.0,0.0
20,attention_unet,True,6,encoder_freeze,60,1,0.020949460430892214,0.0,0.0,0.0006438364507630467,0.0,0.0,0.9181119203567505,0.0,0.0,0.15920494834755594,0.0,0.0,21.392284393310547,0.0,0.0
20,attention_unet,True,6,encoder_freeze,80,1,0.02066327650134307,0.0,0.0,0.0006385062588378787,0.0,0.0,0.9193957448005676,0.0,0.0,0.15943970337749516,0.0,0.0,26.300003051757812,0.0,0.0
20,attention_unet,True,6,full_finetune,100,1,0.021165633304336937,0.0,0.0,0.0006849534111097455,0.0,0.0,0.9190829992294312,0.0,0.0,0.1589156772045832,0.0,0.0,32.1705207824707,0.0,0.0
20,attention_unet,True,6,full_finetune,20,1,0.021799748451187144,0.0,0.0,0.0007183311972767115,0.0,0.0,0.9069955945014954,0.0,0.0,0.14386051032775288,0.0,0.0,25.11808967590332,0.0,0.0
20,attention_unet,True,6,full_finetune,4,2,0.027325798584224417,0.001912168610864461,0.0026501304873680688,0.0011877326760441065,0.0002721557009972564,0.0003771885577589273,0.8833789825439453,0.00424140595304531,0.0058782887458801265,0.20661146097634803,0.011973355004268247,0.01659422341346104,38.07211494445801,10.427642827273075,14.451975631713866
20,attention_unet,True,6,full_finetune,40,1,0.021802677152430085,0.0,0.0,0.0007168325828388333,0.0,0.0,0.913287341594696,0.0,0.0,0.17447757582059395,0.0,0.0,35.690582275390625,0.0,0.0
20,attention_unet,True,6,full_finetune,60,1,0.021150272719209662,0.0,0.0,0.0006596801104024053,0.0,0.0,0.9178674817085266,0.0,0.0,0.16754127602817093,0.0,0.0,33.221717834472656,0.0,0.0
20,attention_unet,True,6,full_finetune,80,1,0.021165633304336937,0.0,0.0,0.0006849534111097455,0.0,0.0,0.9190829992294312,0.0,0.0,0.1589156772045832,0.0,0.0,32.1705207824707,0.0,0.0
20,attention_unet,True,6,last_decoder,100,1,0.02479923519545694,0.0,0.0,0.0009234469616785645,0.0,0.0,0.8811009526252747,0.0,0.0,0.17314036102586397,0.0,0.0,35.119869232177734,0.0,0.0
20,attention_unet,True,6,last_decoder,20,1,0.025466908125775865,0.0,0.0,0.0009622579673305154,0.0,0.0,0.8718537092208862,0.0,0.0,0.17008096120621863,0.0,0.0,33.26038360595703,0.0,0.0
20,attention_unet,True,6,last_decoder,4,2,0.02846970400052222,0.0009930371411984162,0.0013762792611625462,0.001307385682594031,0.00022629787186581626,0.00031363284913823005,0.8595097064971924,0.004427273554978353,0.00613588809967041,0.18795179957368902,0.020389075398217167,0.028257816813358202,53.93303108215332,9.658576807027634,13.386104507446287
20,attention_unet,True,6,last_decoder,40,1,0.025098211812806432,0.0,0.0,0.0009406154858879745,0.0,0.0,0.8768966794013977,0.0,0.0,0.17129986854785237,0.0,0.0,36.259117126464844,0.0,0.0
20,attention_unet,True,6,last_decoder,60,1,0.024953456979774594,0.0,0.0,0.000928624882362783,0.0,0.0,0.8787172436714172,0.0,0.0,0.17212285171279626,0.0,0.0,36.18165969848633,0.0,0.0
20,attention_unet,True,6,last_decoder,80,1,0.02479923519545694,0.0,0.0,0.0009234469616785645,0.0,0.0,0.8811009526252747,0.0,0.0,0.17314036102586397,0.0,0.0,35.119869232177734,0.0,0.0
20,attention_unet,False,,scratch,100,1,0.021259406091144385,0.0,0.0,0.0006751226028427482,0.0,0.0,0.9196285009384155,0.0,0.0,0.16192251740439645,0.0,0.0,38.780967712402344,0.0,0.0
20,attention_unet,False,,scratch,20,1,0.024559671962703915,0.0,0.0,0.000904581684153527,0.0,0.0,0.8871225118637085,0.0,0.0,0.17969135242878287,0.0,0.0,29.482685089111328,0.0,0.0
20,attention_unet,False,,scratch,4,2,0.03428717500363016,9.632908396281619e-06,1.3350529905136742e-05,0.0019072460127063096,0.00013510460403389326,0.00018724542809650302,0.8091357052326202,0.01860745429592312,0.025788615942001342,0.22060718074602356,0.006149843427908537,0.008523248142574913,51.76729965209961,9.589580055791783,13.290479888916014
20,attention_unet,False,,scratch,40,1,0.02318015706033105,0.0,0.0,0.0007806878420524299,0.0,0.0,0.9047180414199829,0.0,0.0,0.17841519954532836,0.0,0.0,39.57292938232422,0.0,0.0
20,attention_unet,False,,scratch,60,1,0.02072149576084512,0.0,0.0,0.0006303210975602269,0.0,0.0,0.915878415107727,0.0,0.0,0.15359922093467274,0.0,0.0,21.533206939697266,0.0,0.0
20,attention_unet,False,,scratch,80,1,0.021259406091144385,0.0,0.0,0.0006751226028427482,0.0,0.0,0.9196285009384155,0.0,0.0,0.16192251740439645,0.0,0.0,38.780967712402344,0.0,0.0
